DatGeracaoConjuntoDados;IdeMdl;IdeTipMdl;DscSitLinTms;IdeLinTms;IdeSbeOri;IdeSbeDsn;NomLinTms;NumCcuLinTms;QtdTorLinTms;NumEtnLinTms;IdeOnsSbeOrigem;NomSubestacaoOrigem;NomLongoSubestacaoOrigem;SigUFSubestacaoOrigem;IdeOnsSbeDestino;NomSubestacaoDestino;NomLongoSubestacaoDestino;SigUFSubestacaoDestino
2024-07-09;565;4;Ativa;11;37;70;LT 230 kV BRUMADO II /IBICOARA BA;1;203;95,0000000000;BABDD;BRUMADO II;SUB BRUMADO II    BA;BA;BAICA;IBICOARA;SUB IBICOARA    BA;BA
2024-07-09;973;4;Ativa;89;153;902;LT 230 kV MILAGRES /COREMAS CE/PB;2;251;119,8000000000;CEMLG;MILAGRES;SUB MILAGRES    CE;CE;PBCMA;COREMAS;SUB COREMAS    PB;PB
2024-07-09;1033;4;Ativa;104;203;222;LT 230 kV U.MASCARENHAS /VERONA ES;1;227;106,5000000000;ESMASC;U.MASCARENHAS;USI MASCARENHAS   ES;ES;ESSTVE;VERONA;SUB VERONA     ES;ES
2024-07-09;1351;4;Ativa;180;326;328;LT 230 kV SAO LUIS II /SAO LUIS III MA;1;79;36,0000000000;MALD;SAO LUIS II;SUB SAO LUIS II   MA;MA;MALT;SAO LUIS III;SUB SAO LUIS III     MA;MA
2024-07-09;1477;4;Ativa;210;362;658;LT 500 kV B.DESPACHO 3 /SAO GOTARDO 2 MG;2;210;93,0000000000;MGBDE3;B.DESPACHO 3;SUB BOM DESPACHO 3   MG;MG;MGSGOT;SAO GOTARDO 2;SUB SAO GOTARDO 2    MG;MG
2024-07-09;1531;4;Ativa;223;427;597;LT 500 kV EMBORCACAO /NOVA PONTE MG;2;198;88,0000000000;MGEMBO;EMBORCACAO;USI EMBORCACAO    MG;MG;MGNPON;NOVA PONTE;USI NOVA PONTE    MG;MG
2024-07-09;1678;4;Ativa;263;576;591;LT 500 kV MESQUITA /NEVES 1 MG;1;357;172,0000000000;MGMESQ;MESQUITA;SUB MESQUITA    MG;MG;MGNEVE;NEVES 1;SUB NEVES 1    MG;MG
2024-07-09;1696;4;Ativa;269;597;658;LT 500 kV NOVA PONTE /SAO GOTARDO 2 MG;1;440;198,0000000000;MGNPON;NOVA PONTE;USI NOVA PONTE    MG;MG;MGSGOT;SAO GOTARDO 2;SUB SAO GOTARDO 2    MG;MG
2024-07-09;1699;4;Ativa;270;597;676;LT 500 kV NOVA PONTE /ESTREITO MG;1;301;147,0000000000;MGNPON;NOVA PONTE;USI NOVA PONTE    MG;MG;MGSTES;ESTREITO;SUB ESTREITO    MG;MG
2024-07-09;1702;4;Ativa;271;597;715;LT 500 kV NOVA PONTE /ITUMBIARA MG;1;397;182,0000000000;MGNPON;NOVA PONTE;USI NOVA PONTE    MG;MG;MGUSIM;ITUMBIARA;USI ITUMBIARA     MG;MG
